"type","variable","method","WY","value","bp_year","segment_id","segment_start_year","segment_end_year","intercept","slope","mean","sd"
"series","et",NA,2017,19.1709108676899,NA,NA,NA,NA,NA,NA,NA,NA
"series","et",NA,2018,29.3688194540016,NA,NA,NA,NA,NA,NA,NA,NA
"series","et",NA,2019,22.4675465393642,NA,NA,NA,NA,NA,NA,NA,NA
"series","et",NA,2020,23.3522983493819,NA,NA,NA,NA,NA,NA,NA,NA
"series","et",NA,2021,20.3708879243545,NA,NA,NA,NA,NA,NA,NA,NA
"series","et",NA,2022,55.3726490246434,NA,NA,NA,NA,NA,NA,NA,NA
"breakpoint","FP","regression",NA,NA,2018,NA,NA,NA,NA,NA,NA,NA
"breakpoint","FP","variance",NA,NA,2016,NA,NA,NA,NA,NA,NA,NA
"breakpoint","FP","variance",NA,NA,2018,NA,NA,NA,NA,NA,NA,NA
"breakpoint","precip","variance",NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
"breakpoint","precip","variance",NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
"breakpoint","vpd","regression",NA,NA,2017,NA,NA,NA,NA,NA,NA,NA
"breakpoint","vpd","variance",NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
"breakpoint","vpd","variance",NA,NA,2018,NA,NA,NA,NA,NA,NA,NA
"breakpoint","et","variance",NA,NA,2015,NA,NA,NA,NA,NA,NA,NA
"breakpoint","et","variance",NA,NA,2020,NA,NA,NA,NA,NA,NA,NA
"segment","FP","regression",NA,NA,NA,1,2006,2018,13.898710431752,-0.00650493774322422,0.810775692384869,0.151215988752566
"segment","FP","regression",NA,NA,NA,2,2019,2025,130.072293513787,-0.064110064737045,0.441742615482324,0.355923440689659
"segment","FP","variance",NA,NA,NA,1,2006,2016,NA,NA,0.836155819048041,0.150869372709553
"segment","FP","variance",NA,NA,NA,2,2017,2018,NA,NA,0.671184995737425,0.0268857309811765
"segment","FP","variance",NA,NA,NA,3,2019,2025,NA,NA,0.441742615482324,0.355923440689659
"segment","precip","regression",NA,NA,NA,1,2006,2024,42001.9866666656,-20.4392280701749,816.942105263158,289.633504480307
"segment","precip","variance",NA,NA,NA,1,2006,2011,NA,NA,909.458333333333,260.201528851517
"segment","precip","variance",NA,NA,NA,2,2012,2013,NA,NA,826.915,15.2240089989463
"segment","precip","variance",NA,NA,NA,3,2014,2024,NA,NA,764.665454545455,330.091577243759
"segment","vpd","regression",NA,NA,NA,1,2006,2017,-39.2021420446067,0.0205223010302024,2.07846647764539,0.180059249045652
"segment","vpd","regression",NA,NA,NA,2,2018,2024,-32.7466939314761,0.0174898797934198,2.60035313102535,0.530430152003913
"segment","vpd","variance",NA,NA,NA,1,2006,2008,NA,NA,1.8525830143631,0.111736119534595
"segment","vpd","variance",NA,NA,NA,2,2009,2018,NA,NA,2.17593589529898,0.138173347043347
"segment","vpd","variance",NA,NA,NA,3,2019,2024,NA,NA,2.63782694214051,0.570816405354747
"segment","gw","regression",NA,NA,NA,1,2006,2025,11147.4910180759,-5.41889506339455,232.585846153848,164.640838907927
"segment","gw","variance",NA,NA,NA,1,2006,2025,NA,NA,232.585846153848,164.640838907927
"segment","et","regression",NA,NA,NA,1,2006,2022,-1254.29229386851,0.635084376949677,24.7676413081345,10.8936360006293
"segment","et","variance",NA,NA,NA,1,2006,2015,NA,NA,22.3931582827435,9.55406739878445
"segment","et","variance",NA,NA,NA,2,2016,2020,NA,NA,24.2749564923708,3.98828674433643
"segment","et","variance",NA,NA,NA,3,2021,2022,NA,NA,37.8717684744989,24.7499826274858
